Date,Price,Open,High,Low,Vol.,Change %
06/30/2015,59.47,58.27,59.69,57.94,282.48K,1.95%
06/29/2015,58.33,58.84,59.27,58.04,286.04K,-2.18%
06/26/2015,59.63,59.66,59.96,58.76,231.96K,-0.12%
06/25/2015,59.70,60.22,60.46,59.43,222.34K,-0.95%
06/24/2015,60.27,61.14,61.57,59.80,312.99K,-1.21%
06/23/2015,61.01,60.21,61.49,59.55,336.22K,2.23%
06/22/2015,59.68,59.44,60.30,58.93,26.74K,0.12%
06/19/2015,59.61,60.50,60.56,58.88,116.66K,-1.39%
06/18/2015,60.45,59.78,60.89,59.25,181.88K,0.88%
06/17/2015,59.92,60.03,61.38,58.85,396.16K,-0.08%
06/16/2015,59.97,59.60,60.37,59.42,233.94K,0.76%
06/15/2015,59.52,59.90,59.98,58.73,275.19K,-0.73%
06/12/2015,59.96,60.55,60.63,59.73,246.90K,-1.33%
06/11/2015,60.77,61.14,61.53,60.21,352.42K,-1.07%
06/10/2015,61.43,60.58,61.82,60.45,459.77K,2.14%
06/09/2015,60.14,58.31,60.68,58.23,405.49K,3.44%
06/08/2015,58.14,58.96,59.13,57.86,339.85K,-1.67%
06/05/2015,59.13,57.99,59.23,56.83,461.02K,1.95%
06/04/2015,58.00,59.57,59.94,57.83,363.35K,-2.75%
06/03/2015,59.64,61.02,61.43,59.34,371.30K,-2.64%
06/02/2015,61.26,60.18,61.58,60.09,344.51K,1.76%
06/01/2015,60.20,60.29,60.64,59.33,292.19K,-0.17%
05/29/2015,60.30,57.97,60.70,57.72,452.22K,4.54%
05/28/2015,57.68,57.63,58.07,56.51,340.68K,0.30%
05/27/2015,57.51,58.32,58.95,57.36,314.92K,-0.90%
05/26/2015,58.03,60.05,60.25,57.71,330.13K,-3.03%
05/25/2015,59.85,59.93,60.24,59.11,,-0.12%
05/24/2015,59.92,60.01,60.01,59.78,,0.33%
05/22/2015,59.72,60.66,60.80,59.35,230.31K,-1.65%
05/21/2015,60.72,58.81,60.94,58.69,329.77K,2.95%
05/20/2015,58.98,58.32,59.04,58.10,287.13K,3.00%
05/19/2015,57.26,59.54,59.63,57.09,30.30K,-3.65%
05/18/2015,59.43,59.85,60.88,59.06,144.39K,-0.44%
05/15/2015,59.69,59.67,59.97,58.42,222.09K,-0.32%
05/14/2015,59.88,60.10,60.84,59.36,361.43K,-1.02%
05/13/2015,60.50,61.23,61.85,60.02,426.84K,-0.41%
05/12/2015,60.75,59.27,61.36,59.12,397.35K,2.53%
05/11/2015,59.25,59.43,59.85,58.75,332.69K,-0.24%
05/08/2015,59.39,59.02,59.90,58.14,434.58K,0.76%
05/07/2015,58.94,60.69,61.31,58.49,437.02K,-3.27%
05/06/2015,60.93,60.72,62.58,60.54,423.58K,0.88%
05/05/2015,60.40,58.95,61.10,58.63,389.74K,2.49%
05/04/2015,58.93,59.30,59.73,58.45,215.05K,-0.37%
05/01/2015,59.15,59.79,59.90,58.32,244.75K,-0.80%
04/30/2015,59.63,58.55,59.85,58.38,340.32K,1.79%
04/29/2015,58.58,56.93,59.33,56.54,411.10K,2.66%
04/28/2015,57.06,56.65,57.83,56.07,281.86K,0.12%
04/27/2015,56.99,57.30,57.89,56.52,250.56K,-0.28%
04/24/2015,57.15,57.53,57.95,56.50,328.32K,-1.02%
